id,disease_name,recommended_product,product_image_url,purchase_url
0,Apple___Apple_scab,Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,https://www.katyayaniorganics.com/wp-content/uploads/2022/06/Boost-3.png,https://www.katyayaniorganics.com/product/katyayani-boost-propiconazole-25-ec/
1,Apple___Black_rot,Magic Fungix For Fungal Disease,https://agribegri.com/productimage/5610679871761897785.webp,https://agribegri.com/products/buy-fungicide-online-india--organic-fungicide--yield-enhancer.php
2,Apple___Cedar_apple_rust,Katyayani All In 1 Organic Fungicide,https://www.katyayaniorganics.com/wp-content/uploads/2022/06/400gm_13.jpg,https://www.katyayaniorganics.com/product/all-in-1-organic-fungicide/
3,Apple___healthy,Green Yatra Triple Booster,https://agrosiaa.com/uploads/userdata/seller/2d82b68c47cff634f170c539d15ee34347b39bb9/product_images/3861394157e7d8ea89a01636c2dbd2e598b5c3d886941ab1f9.jpg,https://agrosiaa.com/products/detail/green-yantra-triple-booster-1000-ml
4,Background_without_leaves,,,
5,Blueberry___healthy,Greenstix Fertilizer,https://lazygardener.in/cdn/shop/products/greenstix-all-purpose-plant-food-sticks-fertilizer-sticks-plant-food-sticks-lazygardener-821257.jpg?v=1695147465&width=1024,https://lazygardener.in/products/greenstix?variant=43644295381212
6,Cherry___Powdery_mildew,ROM Mildew Clean,https://agribegri.com/productimage/0bcd9bcaa893de4a9e2d2ee90e1f8c4b-05-13-19-16-37-23.webp,https://agribegri.com/products/rom-mildew-clean-1-kg--price-of-organic-fungicide-online-.php
7,Cherry___healthy,Plantic Organic Bloomdrop Liquid Plant Food,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSpHb-xEa2rTSIEf5QtLMbax4zvRsTzD4kAwQ9Rcwr3AbDDQxUhmMmPJBVGLCAvczXrXAqwWKN-rReHwSR-XSGlsJRLvZOKRXHV-54uLhU_6EIuBq5BHXaAwg&usqp=CAE,https://plantic.in/products/organic-bloomdrop
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,Antracol Fungicide,https://agribegri.com/productimage/19848401701742649226.webp?scale.height=400,https://agribegri.com/products/bayer-antracol-propineb-70-wp.php
9,Corn___Common_rust,3 STAR M45 Mancozeb 75% WP Contact Fungicide,https://cdn.shopify.com/s/files/1/0722/2059/files/3-star-m45-mancozeb-75-wp-file-3333.png?v=1737427606&width=3840,https://www.bighaat.com/products/3-star-m45-mancozeb-75-wpri.com/products/buy-online-3-star-m45-mancozeb-75-wp.php
10,Corn___Northern_Leaf_Blight,Quit (Carbendazim 12% + Mancozeb 63% WP) Protective And Curative Fungicide,https://www.spraykaro.com/_next/image?url=https%3A%2F%2Fres.cloudinary.com%2Fstrapi-spraykaro%2Fimage%2Fupload%2Ff_auto%2Cq_auto%2Fv1%2FProduct%2FDarrick%2FQuit%2FProduct_Darrick_Quit_Thumbnail_9cd492e2e5&w=640&q=75,https://www.spraykaro.com/product/darrick-quit-carbendazim-mancozeb-fungicide
